ID,Name,Concepticon_ID,Concepticon_Gloss,Bislama_Gloss,Concepticon_SemanticField
453_taro_terrace,taro terrace,,,taro paj,Agriculture and vegetation
454_tattoo,tattoo,68,TATTOO,tatu,Clothing and grooming
455_thatch,thatch,279,THATCH,natangura,The house
456_thick,thick,1244,THICK,tik,Spatial relations
457_thin,thin,2249,THIN (OF SHAPE OF OBJECT),tintin,Spatial relations
458_to_think,to think,2271,THINK,tingting,Cognition
459_thirteen,thirteen,1708,THIRTEEN,tetin,Quantity
460_thirty,thirty,1715,THIRTY,teti,Quantity
461_tsunami,tsunami,,,sunami,The physical world
462_chief_ceremony,chief ceremony,,,seremoni blong jif,Religion and belief
463_to_beat,to beat,1665,BEAT,faetem/kilim,Basic actions and technology
464_to_chew,to chew,321,CHEW,kakae,Food and drink
465_to_choose,to choose,1750,CHOOSE,jusum,Emotions and values
466_to_close,to close,,,sarem,Basic actions and technology
467_deaden_ones_thoughts,deaden one's thoughts,,,kilim tingting,
468_to_forget,to forget,1523,FORGET,foketem,Cognition
469_to_see,to see,1819,LOOK,lukluk,Sense perception
470_to_love,to love,923,LOVE,lavem,Emotions and values
471_to_teach,to teach,709,TEACH,tijim,Cognition
472_toilet_for_male,toilet for male,,,toelet/smol rum blong ol man,
473_toilet_for_female,toilet for female,,,toelet/smol rum blong ol woman,
474_wood_for_moving_stones,wood for moving stones,,,wud blong tekemaot ston blong laplap,
475_direction_inland,direction inland,,,daereksen i ko antap,Spatial relations
476_direction_sea,direction sea,,,daereksen i ko daon long solwota,Spatial relations
477_twelve,twelve,1707,TWELVE,twelef,Quantity
478_umbilical_cord,umbilical cord,,,nambiton,The body
479_uncle,uncle,1327,UNCLE,angkel,Kinship
480_under,under,1485,BELOW OR UNDER,andanit,Spatial relations
481_village,village,930,VILLAGE,vilij,Social and political relations
482_war,war,935,WAR,faet,Warfare and hunting
483_hot,hot,2272,HOT OR WARM,hot,Sense perception
484_warrior,warrior,3608,WARRIOR,soldia/man blong faet,Social and political relations
485_taro_wet,taro wet,,,wota taro,Agriculture and vegetation
486_weave,weave,133,WEAVE,wivim,Clothing and grooming
487_wedding,wedding,1259,WEDDING,mared,Kinship
488_west,west,1817,WEST,wes,Spatial relations
489_wide,wide,1243,WIDE,bigwan,Spatial relations
490_parents_in_law,parents in law,306,PARENTS-IN-LAW,palika,Kinship
491_pig_wild,pig wild,,,wael pik,Animals
492_taro_wild,taro wild,,,wael taro,Agriculture and vegetation
493_yam_wild,yam wild,,,wael yam,Agriculture and vegetation
494_womb,womb,804,WOMB,basket blong pikinini,The body
495_female_chief,female chief,,,woman jif,Social and political relations
496_yam,yam,410,YAM,yam,Agriculture and vegetation
497_yam_garden,yam garden,,,karen blong yam,Agriculture and vegetation
498_younger_sister,younger sister,1761,YOUNGER SISTER,smol sista,Kinship
499_younger_brother,younger brother,1760,YOUNGER BROTHER,smol brata,Kinship
500_niece_fraternal_younger,niece fraternal younger,,,gel blong mi (yu etc),Kinship
501_nephew_fraternal_younger,nephew fraternal younger,,,boe blong mi (yu etc),Kinship
502_nibling_fraternal_younger,nibling fraternal younger,,,pikinini blong mi (yu etc),Kinship
503_cousin_female_younger,cousin female younger,,,smol kasen sista/smol sista,Kinship
504_cousin_male_younger,cousin male younger,,,smol kasen brata/smol brata,Kinship
505_niece_sororal_younger,niece sororal younger,,,gel blong mi (yu etc),Kinship
506_nephew_sororal_younger,nephew sororal younger,,,boe blong mi (yu etc),Kinship
507_nibling_sororal_younger,nibling sororal younger,,,pikinini blong mi (yu etc),Kinship
